review;faydali;faydasiz;tarih;satici;yildiz;fotografli
"Ürünü yaklaşık 3 aydır kullanıyorum
Eğer tereddütunuz varsa direkt alın.Oldukca kullanışlı basit ve tam fiyat performans ürünü.Bu ürünü alfiktan sonra kablolu kulaklığın ceza gibi olduğunu farkettim.Evinize teslim alınca mutlaka şarj etmeyi unutmayın (2 saat) Ürünü kendi şarj aletiniz ile şarj ediyorsunuz.Urunu kullanmak için once telden Bluetooth u açınsonra kulaklığın 2 tuşuna da 2-3 sn kadar basılı tutun.Beyaz ışık yanicak üstünde o aygıt arıyor demektir.Sonra telefonunuzdan redmi airdotsa tıklayın bağlanicaktir Telinizin üstünde hemen bişey belirir zaten.Ses ve mic kalitesi gayet güzel ben sorun yaşamıyorum dışarda iken rüzgar eserken de dahil.Kulaginizdan bazen kayıyor ona dikkat edin.Sarji ortalama nerden baksan 4 saatten fazladır.Ses kalitesi çok güzel ama çok kullanırsanız kafa ağrıtıyor.urunu severk kullanıyorum kesinlikle tavsiye ederim.";47;4;04.05.2021;Hepsiburada;1;0
Uste çıksın diye yuksek verdim sol kulaklık bozuldu bile daha 1 ay ancak oldu;42;7;15.07.2021;ALSATEKK;1;1
Ürünün fotoğraflarında gördüğünüz mi security kodu yok dolayısıyla sorgulama yapamadım ve ürün olması gerekenden farklı üstte durması için 5 yıldız verdim.;36;5;12.10.2021;SFİT TEKNOLOJİ ÜRÜNLERİ;1;1
Mükemmel bir kulaklık ürün orijinal barkodu üzerinde geldi ses kalitesi bu fiyat segmentindeki kulaklıklara göre gayet başarılı mikrofon kalitesi de gayet yeterli başarılı ses temiz geliyor temiz gidiyor ben çok memnunum şahsen yani tamamen kablosuz Bir kulaklık alacak olsam yine bunu alırdım mi 9t kullanıyorum ikisinin uyumu gerçekten çok mükemmel ben kulaklığı başarılı buldum bir ara 1 adet daha sipariş vermeyi düşünüyorum;35;9;02.10.2020;Hepsiburada;1;0
Önceliklle kargo konusunda 24 saatten kısa sürede ulaştıran hepsijete teşekkürub borç bilirim diğer kargolar artık saolsun evde olduğumuz halde Telsim edilemedi yazısı yazmaya bayılıyor adresi bulamıyorlar neyse düzelir artık zamanla inşallah... Ürüne gelicek olursak orjinalmi diye çok terettut ettim padleri çıkarınca içinde seri no yazmıyor ama ürünün kutusunda evafone kağıtları çıktı ve kutunun arkasında kazidigimz bölümden cikan 20 haneli seri boyu yazdığımda Xiaominin sitesinde orjinal olduğunu gördüm resmini koyarım onun dışında ürün ile ufak test yaptım balkonda telefon da konuşurken yankılı gitmiş ses ev içi normal müzik kalitesi fena diil ses yalıtımı kendi konstgmu duyamıyorum fena diil ama kullanımı bana rahat gelmedi daha ilk gün kulağımdan tekini düşürdüm ben kablo ile boyuna asılan hangi model oluor o bilmiyorum yine wireless kulaklık ama boynunda duruyor onlar daha kullanışli geldi bana ürün genel olarak iyi;34;17;14.08.2020;Hepsiburada;1;0
"Kızıma aldım çok memnun metro ile işe gidiyor o gürültülü ortamda bile hem konuşurken hem müzik dinlerken bir sorun yaşamadı
Malzeme kalitesi de gayet iyi tek eksiği şarj kablosu yok";33;6;10.07.2021;Hepsiburada;1;1
Kendime almıştım. Çok memnun kaldım hediye olarak anneme de aldim. Çok başarılı ve kullanışlı bir ürün. Hepsiburadadan satın aldım 24 saat olmadan teslim edildi.;32;11;24.09.2020;Hepsiburada;1;0
Beğendim. Kesinlikle alınız. İlk sürümü iade ettim bunu aldım. Aradaki fiyat farkina değer....;30;15;24.06.2020;Hepsiburada;1;0
Ürünü 5 Kasım akşamı satın aldım bugün teslim edildi. Vakit kaybetmeyin hemen alın muazzamdiyeceklerim bu kadar. Teşekkürler Hepsiburada teşekkürler hepsijet çalışanı Furkan ve Yunus...;27;7;07.11.2020;Hepsiburada;1;0
Ürün Hepsijetle 2. günde hızlı bir şekilde teslim edildi. Gayet başarılı bir ürün. Fiyat kalite performansı müthiş. Hepsijeti ayrıca kutluyorum. Çünkü aynı anda verdiğim ve Sürat Kargo ile teslim edilecek ürünü hala bekliyorum.;26;13;16.09.2020;Hepsiburada;1;0
ürün gayet güzel kullanışlı siparişim 1 günde elime ulaştı hepsijet kadar hızlısını görmedim cumartesi günü siparişi verdim pazartesi öğlen geldi Gaziantepe daha geç gelir diye umuyordum ama gerçekden hepsijet çok hızlı çıktı kargo ve üründe sıkıntı yok gönül rahatlığıyla alabilirsiniz;25;7;08.10.2020;Hepsiburada;1;0
Ürün çok güzel  ses kalitesi mükemmel ve de kesinlikle orijinal ürün sorguladım. Tavsiye ediyorum herkese.;24;4;07.07.2021;Hepsiburada;1;1
"Xiaomi Redmi Airdots daki sorunların giderilmiş versiyonu oyunlardaki ses gecikme sıkıntısını oyun modu getirerek çözmüşler.
 Öbür modelle karıştırarak yorum yazmayın.";23;4;19.06.2020;;1;0
Kulaklik müthiş ama bu 2.versiyonumu değil mi anlamadim suan kutusunda 2 diye birşey yok. Satıcı anlatirsa güzel olur. Ses kalitesini begendim beni tatmin etti.;23;13;09.10.2020;egalaksi;1;0
Ben çok beğendim diğer odaya falan gittiğimde de çekiyor. Konuşması rahat koca telwfonu elimde tutmaktan iyidir kızım başka birsey yaparken telefonla konuşabilirim teknolojinin gözünü seveyim 😃;22;1;20.04.2021;Trendy Elektronik;1;0
Küçüklüğümden beri Mp3 elimden düşmezdi şimdi yerini akıllı telefonlar aldı. Şimdiye kadar hep Sony den sasmazdim fakat Sony fiyatları mağlum çok pahalı. O yüzden arkadaşımın tavsiyesiyle bu ürünü aldım. Sony den bi farkı yok. Eğer kulağıma dışarıdan ses gelmesin daha çok bass ağırlıklı dinleyim diyorsanız. Kutuda 3 boyutta silikon imkanınız var. Büyük olanı kulağınıza iyice sıkıştırıp daha çok bass ağırlık alacaksınız. Ama çok bass kafa ağrıtır onun için temiz bir ses kalitesi olması çok iyi derim. Orijinal üründür diğer ünlü sitelerde replika ürünler mevcut. Orijinalden şaşmayin arkadaşlar diğerleri Allah muhafaza kulağınıza patlar. Bunun garantisi birçok belgeleri var.;22;8;05.10.2020;Hepsiburada;1;0
Bu ürünü Hepsiburada’nın kendisinden satın aldım. HepsiJet ile 2. gün teslim edildi. Bluetooth üzerinden hızlıca iPhone telefonuma eşleştirdim. İçerisinden şarj kablosu çıkmıyor kendiniz android bir kablo ile kutuyu şarj etmelisiniz. Kutu şarj olurken ya da olduktan sonra aynı zamanda kulaklıkları da şarj ediyor. Müthiş estetik bir görüntüsü var. Kulaklıklar şarj olduktan sonra üzerindeki kırmızı ışık beyaza dönüyor. Fakat kulaklığın kutusu şarj olduktan sonra sadece önündeki kırmızı ışık sönüyor. Şarj seviyesini Apple cihazlarda öğrenemiyorsunuz. Belki android telefon kullananlar görebiliyorlardır. Ses kalitesi orta seviyesi bir kulaklık için son derece başarılı. Fiyatına göre değerlendirdiğinizde çok yeterli bir ürün. Yüksek seslere çıktığında hiçbir bozulma yok. Yedek olarak 2 takım (4 adet) silikon başlık koyulmuş. Kulağınıza taktığınızda güzel bir görüntüsü var. Tavsiye ederim.;20;3;14.10.2020;Hepsiburada;1;0
"Eğer normalde üst segment kulaklık kullanan biri değilseniz ve kablolu kulaklığın verdiği dağınıklıktan kurtulmak istiyorsanız bu fiyata alabileceğinizin en iyisi. Normal s olmayan modelin aksine bağlantı problemi gibi teknik bir sıkıntısı yok+ oyun modu var (ki dizi film video izleyen insanlar için oyun modunu açmasanız da gecikme asla farkedilecek düzeyde değil ama kullanmak isterseniz herhangi bir kulaklığa 3 defa bastığınızda kulaklıktan oyun modunun açıldığına dair bildirim sesi geliyor). Ayrıca siz kulaklığı telefonunuza yada bilgisayarınıza bağladıktan sonra cihazınızın bluetooth u açıksa kulaklıkların birini yada ikisini çıkardıktan 3 saniye sonra hemen cihazınıza bağlanıyor ve bildirim sesi geliyor kulağınıza. Bu yüzden aşırı rahat bir kullanımı var ve cihazlar arası geçişi de kablolu bir kulaklığı bir cihazdan çıkartıp ötekine takmak kadar hızlı.

 Ses performansını sadece müzikte deneyimleyebildim ama benim gibi üst segment kulaklık kullanıcısı olmayan biriyseniz kulaklığın müzik performansı gayet iyi ve doyurucu. (8D9D müziklerde de gerçekten başarılı)

İzolasyon kısmına gelirsek müziğin sesi  yüzde 60  veya üstü olduğu zaman dışarıdan hiçbir ses duyamıyorsunuz. Ben ilk aldığım gün yüzde 60-70 civarı bir ses seviyesinde müzik dinlerken zar zar çalan kapıyı bile duymamışım. Yani normal kulaklıkların aksine sadece televizyon yada konuşma sesi  gibi basit sesleri değil yüksek seviyedeki sesleri de duyamıyorsunuz.

Kulaklığın dışarıya verdiği ses ise şöyle siz 70-80 civarında müzik dinliyorsunuz ve minibüste yanınıza dikilmiş biri var. Aranızda 2 karıştan fazla mesafe varsa sizi asla duyamaz ki gün içinde kimse kulağınıza 2 karıştan daha yakın olmaz heralde :D. Ama tabi kulaklığın dibine girerseniz ve ses fulldeyse anlaşılıyor ama günlük hayatta birinin sizi anlayabileceği kadar dışarıya ses vermiyor bu çok güzel.

Mikrafon kısmı zaten bu fiyat segmenti için çok bile. 5.0 teknolojili bluetooth kulaklık alıyorsun (Telefonu evin bir ucuna koysanız siz kulaklıkla öbür ucuna gitseniz bile bağlantı kopmuyor 10 metreye kadar kendim denedim) şarjı gayet iyi gidiyor ve kapalı ortamlarda gayet yeterli bir mikrafonu var ve bir de oyun modu var. Kısacası fiyatını sonuna kadar hak ediyor fiyat performans ürünü

Ayrıca kargonuz aras kargo ise söylemeliyim ki gayet hızlılar. 26 ağustos gece 12 de sipariş verdim. 28 ağustos öğle 1 buçukta geldi.";17;4;30.08.2020;Hepsiburada;1;0
Başta bunu söylemek istiyorum ürün gerçekten orijinal daha yeni geldi 5 Kasım'da istedim 4 günde elime ulaştı çok hızlı ve çok iyi bir kargo kesinlikle alın pişman olmazsınız bende airpods vardi nerdeyse 2 yıl falan gitti sonra yavaş yavaş güç kaybetmeye başladı yani demek istediğim bence o kadar para vermeyin bir kulaklığa bence bu xiaomi nin kablosuz kulaklığını alın hem ucuz hemde F/P ürünü teşekkürler Hepsiburada;17;9;09.11.2020;Hepsiburada;1;0
Abilerim kardeşlerim ürün yeni elime ulaştı şarjını doldurup hemen kullanmaya başladım ve size diyebileceğim tek şey istisnasız kaçırmayın. Fiyat performans olarak da düşünmeyin. Bu kadar kaliteli bir ürün nasıl bu fiyatta olur anlamış değilim ama acayip memnun kaldım. Ses kalitesine söyleyecek birşey yok muazzam. Konuşmaya gelecek olursak ilk aramamda karşımdaki kişiye kulaklıkla konuştuğumu söylemedim en son söylediğimde ise sesimin normalden farksız gittiğini söyledi yani her açıdan gayet memnunum. Kalabalık ortamda nasıl olur bilemem ama ev ortamında denemelerime göre fazlasıyla başarılı. Uzun süre kullanımda ne sergiler bilemem ama fazlasıyla memnun kaldığımı belirtmek isterim. Bass-tiz olarak muazzam bir ses kalitesine sahip bir ürün. Orjinal mi değil mi ona pek takılmam bana verdiği performansa bakarım. Kaçırmayın :);17;4;29.04.2021;Bizdenal;1;0
Yukarı çıksın diye 5 puan verdim. Arkadaşlar bu ürün orijinal değil. Orijinallik kodu da yok. Ayrıca modeli basic üstüne basic 2 diye etiket yapıştırmışlar.;17;3;14.11.2021;BedaMagaza;1;1
Üründen 3 adet aldım. Yorum yapmak için 3 ay bekledim. Gerçekten fiyat performans ürünü. Satıcı ürünü güzel paketlenmişti. Tavsiye ediyorum.;16;4;15.04.2021;Hepsiburada;1;0
Uzun süredir almayı düşündüğüm bir kulaklık yorumların çoğunu okuduktan sonra sipariş verdim 18 saatte elime geçti kutunun arkasında içeriğinde kablo şarj aleti olmadığı yazıyor ürün orjinal altindaki doğrulama kodunu kazıyıp web'den doğrulatılabiliyor sanırım 2. vesiyon olduğu için hiçbir şey yapmadan telefondan eşleştir dediğimde hemen eşleşti. Kulaklığa basarak konuşmayı veya dinlediğiniz müziği kapatıp açabiliyor karşı taraf sesimi çok iyi duyabiliyor yalnız karşıdaki dış sesleri de net duyuyor kalabalıkta sorun olur mu bilmiyorum. Şarj süresini henüz test etmedim. Sonuç olarak bu fiyata alınabilecek en iyi kulaklık diyebilirim;16;9;04.11.2020;Hepsiburada;1;0
İyi orjinal kıyaslamalarıyla herşey tutuyor fakat kauçuğun içinde seri numarası yok kutuda var . Bas ve ses kalitesi çok iyi mikrofonda gayet iyi tuşları anlamak zor biraz.;15;2;25.11.2020;Hepsiburada;1;0
eski serisini kullanmadım ama bence fiyatına göre iyi bir kulaklık özellikle r&b rap dinleyenler memnun kalacaktır;15;5;23.06.2020;Hepsiburada;1;0
Gerçekten çok güzel küçük bir ürün bağlantıda hiçbir problem yaşamadım orijinalin doğruladım orijinal rahatlıkla alabilirsiniz başka satılık satıcılardan almanızı tavsiye etmem hepsiburada'dan alın;14;4;07.11.2020;Hepsiburada;1;0
Ürün 3 günde elime ulaştı. Ses kalitesi ve mikrofon kalitesi fiyatına göre çok iyi. Bluetooth ile sorun yaşamadım. İlk aldığınız zaman jelatini söktüğünüz zaman 15 saniye basılı tutup resetlemeniz yeterli olucaktır. Ürün orijinal üründür fakat kutu menteşesinin daha kaliteli olmasını beklerdim ve kutusundan şarj aleti olmasını beklerdim. Umarım faydalı bir yorum olmuştur. Alıcısına şimdiden hayırlı olsun.;13;4;22.05.2021;Atacel Elektronik;1;1
Müthiş çok güzel bir ürün gönülden alın....;13;2;28.05.2021;Torima;1;1
Ürünü yine aynı satıcıdan 6 ay önce kendime almıştım çok memnun kaldığım için şimdi de erkek arkadaşıma aldım. Tam bir fiyat/performans ürünü. Şarjı bana nerdeyse 1 hafta gidiyor. Sorunsuz şekilde kullanıyorum. Orjinalliğini de sorguladım kesinlikle orjinal 👍🏻 eğer alma düşünceniz varsa hiç tereddüt etmeden alın memnun kalacağınızdan eminim.;12;5;17.04.2021;Trendy Elektronik;1;0
Kulağım küçük bu yüzden alırken silikonlu olduğu için çekinmiştim ama en küçük silikonu takınca gayet iyi oturdu düşme de yapmadı. Ses ve miktrofon kalitesi gayet iyi. Telefona bağlarken bir sorun yaşamadım düğmelere basmama bile gerek kalmadı kutusundan çıkarttığımda bluetooth kısmında göründü ve seçmemle bağlandı. Genel olarak güzel bir ürün.;12;3;16.04.2021;Bizdenal;1;0
3 gün önce indirimden aldım. Kulaklık kalitesi gayet güzel. Klasik (Normal) bir kullanıcı için basları ve tizleri gayet iyi. Fiyat/Performans ürünü. Fiyatına göre gayet iyi Hepsiburada'nın kendisinden aldım. Kargoya gelecek olursak 2 gün gibi kısa bir süre içinde elimde ulaştı gayet hızlıydı paketleme iyiydi HepsiJet adlı kargo ile geldi. Alacak arkadaşlara da tavsiyem güvenilir olmasını istiyorsanız Hepsiburada'nın kendisinden alın. Garantisi vb. şeyler içerisindeydi. Orijinallik testi yaptım ve orijinal olduğunu gördüm içim rahat değildi alırken çakma gelebilir diye korkmuştum ama orijinal olduğunu test ettikten sonra içim rahat etti. Fiyatı uygundu. Umarım alacak arkadaşlara yardımım dokunmuştur. Teşekkürler Hepsiburada😊;11;3;26.11.2020;Hepsiburada;1;0
Hali hazırda ilk versiyonunu olan Mi  basic kullanıyordum ama arkadaşıma hediye ettim kendime yeni bir Orjinal  kulaklık almak için 3 haftadır araştırma yapıyorum fakat orjinal diye 1 tane aldım iade ettim  güvenirlik anlamında Hepsiburada satıcısını takip ediyordum çünkü  faturalı orjinal ürün satıyor ve dürüst bir satıcı hepsijet'le hızlı teslimat yapıyor bende perşembe günü akşam tekrar kontrol ediyordum ve indirimli olarak satışa sunulmuş orjinal ürün oldugunu görünce hemen tereddüt etmeden 2 tane sipariş verdim ve çok hızlı kargo yapıldı  cumartesi günü de teslim edildi. Kulaklıklardan ses kalitesi anlamında memnunum ayrıca sesim karşı tarafa çok net gidiyor ve ses bana iyi geliyor herkese tavsiye ederim Ayrıca hepsiburada satıcısınıda tavsiye ediyorum. Kendilerinede çok teşekkür ediyorum. Verdigim parayı fazlasıyla hakediyor.;11;17;04.10.2020;Hepsiburada;1;0
fiyat performans ürünü sesi güzel;10;0;06.05.2021;Ceptech;1;0
Şimdi şoyle dısardan ses gelmemesi için en az 2 metre uzaktan gelen bir ses olması lazım yani sesler geliyor ama çok minik sesler (konuşmahapşırmaöksürmeseslenme) bunlar gelmez. Şarjı iyi gidiyor malzeme kaliteki kulak boyutu icin ekstradan sikikonları var ayarlanabilir.oldukça kaliteli ve şık. Bir airPod'dan daha çok ses çıkarıyor ve kulaktan düşmüyor kaliteli mal ve ses.🤙👏👏👌👍;10;4;20.04.2021;Bizdenal;1;0
ürünüm orjinal ve hızlı teslimat için teşekkürler ☺️;10;6;20.10.2020;Hepsiburada;1;0
Kısa sürede elime ulaşan minnoşlarım çol güzeller. Ses kalitesi kulakta duruşu kutusuyla kalbimde taht kurdu diyebilirim😊 alın aldırın;10;2;21.04.2021;Trendy Elektronik;1;0
Ürün tamamen orjinal. İmei koduyla Xiomi internet sitesinden sorgulattım. Kimsenin şüphesi olmasın. 10 numara cihaz fazlasıyla iş görüyor. Saçma sapan paralar vermeye gerek yok. Bizim gibi orta bütçeli insanlar için tam bir fiyat/performans ürünü. Çok kalite isteyen gitsin airpods alsın. Ben müzik dinlerim işte evde arada telefonla konuşurum diyenler için ideal. Cihaz akıllı bileklik ve saatlerle küçük bir ayar yapılarak aynı anda kullanılabiliyor. Şarjı deneyip gözlemleyeceğim. İlk izlenimlerim 10/10. Hepsiburada ailesine teşekkür ederim. Kargo hızı da hiçbir internet sitesinde yok.;9;3;08.11.2020;Hepsiburada;1;0
"Ses performansı güzel. Mikrofon kapalı ortamda iş görür fakat dışarıda kullanırsanız karşı taraf sizin sesinizden çok dışarının sesini duyar o yüzden çok bişey beklemeyin. Oyun modu var fakat normal modla arasında çok az bir fark var gecikme olarak. Zaten oyun oynayacaksanız kablolu bir kulaklık seçin.Şarjı gayet uzun gidiyor.Günde ortalama 3 saat falan kullanıyorum 3-4 gün gidiyor. Kutusunda Earbuds basic s yazıyor ama arasında hiçbir farkı yok kutudan usb kablo çıkmıyor. Müzik deneyimi bu fiyattaki 
bir kulaklık için gayet iyi.";9;12;23.08.2020;Hepsiburada;1;0
Ürün gerçekten çok güzel ses kalitesi çok iyi kulağa  çok rahat oturuyor 2 kulaklıktada  mikrofon var ve kalitesi gayet iyi 2 kulaklığıda şarj kabından çıkarıp kabı şarj edip kablosuz bi şekilde kulaklıklarınızı şarj edebilirsiniz bisiklet sürerkende kulağımdan hiç düşmedi ve pil gücü gayet yeterli almanızı tavsiye ederim;9;9;19.10.2020;Hepsiburada;1;0
Ürünü alma ile ilgili bir şüpheniz varsa hemen alın vakit kaybetmeyin.;9;3;24.05.2021;Boğaziçi Tech;1;1
Kesinlikle hayır;9;6;09.07.2021;nevarsa2020;1;1
Ses kalitesini beğendim. Hatta o kadar yüksek geliyor ki baya kısmak zorunda kaldım. Sesim de karşı tarafa gayet güzel gidiyormuş. Kurulumu çok kolay. Kullanması rahat. Bugüne kadar neden almamışım diyorum. Şarj aleti çıkmıyor kutudan ama gerek yok. Zaten herkesin evinde fazla fazla olan micro usb ile şarj oluyor. Ürün Orjinalliğini sorgulattım ORJİNAL ÜRÜN.;9;3;17.04.2021;Trendy Elektronik;1;0
Kargo gayet hızlıydı. Kullanımı çok kolay. İlk geldiğinde kaba durduğunu düşünmüştüm kulaklarım da biraz küçük olduğu için ama görüntüsüne alıştım. Silikon kısmın altında seri numarası yazıyor ama orjinal mi hala emin olamadım ve hiçbir zaman olamayacağim galiba. Kullanışlı kutusu cepte hissedilmiyor bile. Şarjı da gayet iyi gidiyor. Anahtarımla aynı cebe koydum kutusunda herhangi bir çizilme de olmadı.;9;5;14.10.2020;Hepsiburada;1;0
Orijinal ürün kesinlikle barkodla kodrol var;8;7;07.06.2021;Hepsiburada;1;1
Ürün güzel ve orjinal geldi. Ürünü  gelen yorumlara bakarak techtech mağazasından aldım. kargo gayet hızlıydı. Ürün ile ilgili bir sorun yaşanmasına rağmen satıcı dürüst ve güvenilir. Sorun ile hemen ilgilenerek çözdü. düşünüyorsanız başka bir yerden almayın derim. Gönderilen ürünün orjinalliği sadece zor görülmesine rağmen kulaklıklardaki seri nodan anlaşılıyor. aşağıda  fotosu mevcut.;8;2;12.07.2021;TechTech;1;1
